Method,edge removal percentage,jaccard index
ours_hdhc,2,0.8181818181818182
ours_hdhc,4,0.42857142857142855
ours_hdhc,6,0.42857142857142855
ours_hdhc,8,0.48148148148148145
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
ours_hdhc,2,0.6
ours_hdhc,4,0.42857142857142855
ours_hdhc,6,0.3793103448275862
ours_hdhc,8,0.3333333333333333
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
Method,edge removal percentage,jaccard index
