Node_Id	Closeness_Centrality
560	0.3670943600595669
812	0.35848313209922406
8	0.35462240706605647
251	0.3537731621370745
470	0.3512496583884452
720	0.35078477114545376
11	0.3492169268451899
719	0.34635350284891914
444	0.3416221846218652
247	0.33972039606754073
18609	0.3378312208875895
9	0.33652753520224427
156	0.33447899086739935
12862	0.3344127901764805
590	0.3340491542836433
15600	0.32813742575032995
1623	0.3275371040608053
6	0.32665848980614415
336	0.32652828724836563
22857	0.3263903069997306
1488	0.32637454525318643
31	0.32634696585946893
22255	0.3262485060626176
158	0.3262091387770044
303	0.32596920391958284
15545	0.32596527350173854
1590	0.3258356228650406
1622	0.3253219648595854
269	0.32488018504382404
19265	0.3247943143170662
3508	0.32478260818946725
305	0.323852723631543
1354	0.3236821115644958
28	0.32324863638160856
27451	0.32321771829108903
4277	0.32291657657692113
27609	0.32260829563792315
3628	0.3221431375238824
153	0.3220126732560681
510	0.3218938126055759
271	0.32137721511033995
36	0.32107186496118345
12916	0.3210146763942656
21545	0.32090797889255585
4487	0.3195802198537295
259	0.31950090361843553
1193	0.31942917522765246
6322	0.31865355097794246
167	0.3181285739587503
3223	0.317885422173097
7739	0.31784804719253507
2844	0.31766503675432645
22319	0.31746359572862376
321	0.3170689164911295
1232	0.3167865424297111
612	0.3166529617666583
12	0.31664554392178934
20989	0.31654173057311935
3225	0.3165157878711956
131	0.31647873424411666
2776	0.31647502935855737
23852	0.31621220401514377
22047	0.3161826172543793
1226	0.31603846104590466
22231	0.31593135315203735
7403	0.3158390770131865
1387	0.31575791858842606
23582	0.31548523699225917
5189	0.3154557861078051
1178	0.31535275129910045
21070	0.3150550649465275
4126	0.31494128425483686
766	0.31484591863722494
256	0.31440651700161293
248	0.3143845791123001
7400	0.31426762872133507
20470	0.31410696393310583
1297	0.31406317477016993
231	0.3139391717515176
1271	0.3134804837527156
54	0.31340779936778834
11449	0.3132843132372258
1500	0.31304488244131046
23510	0.31297239989194797
253	0.31289270784567924
21418	0.3127949594208602
2857	0.3125960310569446
506	0.3120151651935723
1385	0.3118927738369658
773	0.3118172271317295
348	0.3117165551030451
9806	0.31168780360489184
1270	0.3115800327078821
16	0.3114866915297464
13050	0.311461570767039
2300	0.31130734635958873
317	0.3111819275725662
6968	0.3110852449640593
511	0.31107092672389347
6787	0.3107705478545429
5510	0.310752686451712
13839	0.3107455424654492
223	0.31068840239810935
905	0.3105884578286863
1367	0.310559914046878
1210	0.31038163420781734
9790	0.31024983884808444
7366	0.31011104052614497
161	0.31010036887593984
1995	0.3100968118224192
10609	0.3100541335443645
1299	0.30995815035734237
47	0.3096918419331067
1565	0.3096421817021165
1081	0.30958899198216583
13456	0.30950392642899144
26	0.3094649536713336
1619	0.3092985442069778
386	0.30919949169487926
20785	0.30916059556358644
285	0.30903690022481867
2180	0.30901217303385364
2855	0.30888153787466793
22359	0.30880038789041847
73	0.30876159209953274
1208	0.3084445377754454
738	0.308367134620006
2874	0.30834251448949745
147	0.3082124447950872
24	0.3081737965854643
17404	0.30811057496343425
5607	0.3080930180049995
20161	0.3080789738788226
13706	0.3080228101755427
324	0.30801930062400085
15308	0.3080122817608345
1146	0.30795614236904584
4161	0.30785093614834236
3034	0.30780186450792657
267	0.3077352922988194
426	0.3076302368950896
20162	0.30762673628360226
1179	0.3076197352996289
1154	0.30761273463430566
13259	0.3076092344211311
8268	0.3075532418414868
749	0.3075392468814467
14788	0.30748327977555373
557	0.30747978250778185
3048	0.30747978250778185
18456	0.30743432526516123
13845	0.3073714066521135
11360	0.30731550061234414
18074	0.3072281881270861
945	0.3072002586091827
898	0.30716186381251065
1112	0.30686898335754953
14495	0.30685853367083266
2657	0.3068202242409112
18873	0.3067784430433568
